date,humidite_sol,temperature_sol,niveau_reservoir,evapotranspiration,profondeur_racines,ph_sol,conductivite_electrique
2021-01-15,45.2,3.5,85.0,1.2,15.0,6.8,0.8
2021-01-16,48.5,4.1,85.0,1.5,15.0,6.8,0.8
2021-01-17,52.3,4.8,85.0,1.8,15.0,6.8,0.8
2021-01-18,55.1,5.2,85.0,2.1,15.0,6.8,0.8
2021-01-19,38.5,5.8,84.5,2.5,15.0,6.8,0.8
2021-01-20,35.2,6.5,84.0,2.8,15.0,6.8,0.8
2021-02-10,32.1,8.2,83.5,3.2,18.0,6.8,0.9
2021-02-11,30.5,8.8,83.0,3.5,18.0,6.8,0.9
2021-02-12,28.8,9.5,82.5,3.8,18.0,6.8,0.9
2021-02-13,27.2,10.1,82.0,4.2,18.0,6.8,0.9
2021-03-05,25.5,12.8,81.5,4.8,22.0,6.9,1.0
2021-03-06,24.1,13.5,81.0,5.2,22.0,6.9,1.0
2021-03-07,22.8,14.2,80.5,5.5,22.0,6.9,1.0
2021-03-08,21.5,15.1,80.0,5.8,22.0,6.9,1.0
2021-03-15,20.2,16.5,79.5,6.2,25.0,6.9,1.1
2021-03-16,19.1,17.2,79.0,6.5,25.0,6.9,1.1
2021-04-10,18.5,19.8,78.5,7.2,30.0,7.0,1.2
2021-04-11,17.2,20.5,78.0,7.5,30.0,7.0,1.2
2021-04-12,16.8,21.2,77.5,7.8,30.0,7.0,1.2
2021-05-20,15.5,22.8,77.0,8.5,35.0,7.0,1.3
2021-05-21,14.2,23.5,76.5,8.8,35.0,7.0,1.3
2021-06-10,13.8,24.2,76.0,9.2,40.0,7.1,1.4
2021-06-11,12.5,25.1,75.5,9.5,40.0,7.1,1.4
2021-07-05,11.8,26.5,75.0,10.2,45.0,7.1,1.5
2021-07-06,10.5,27.2,74.5,10.5,45.0,7.1,1.5
2021-08-15,65.2,22.8,74.0,8.2,50.0,7.0,1.2
2021-08-16,68.5,21.5,74.0,7.5,50.0,7.0,1.1
2021-08-17,72.1,20.2,74.0,6.8,50.0,7.0,1.0
2021-08-18,75.5,19.8,74.0,6.2,50.0,7.0,0.9
2021-09-10,78.2,16.5,74.0,5.5,50.0,6.9,0.8
2021-09-11,80.5,15.2,74.0,5.2,50.0,6.9,0.8
2021-09-12,82.8,14.5,74.0,4.8,50.0,6.9,0.7
2021-10-05,70.2,10.8,74.0,3.5,50.0,6.8,0.7
2021-10-06,72.5,9.5,74.0,3.2,50.0,6.8,0.7
2021-11-15,75.8,5.2,74.0,2.2,50.0,6.8,0.6
2021-11-16,78.2,4.5,74.0,2.0,50.0,6.8,0.6
2022-01-20,50.5,2.8,85.0,1.5,15.0,6.8,0.8
2022-02-15,35.2,7.5,84.5,3.8,18.0,6.8,0.9
2022-03-10,28.5,13.8,84.0,5.5,22.0,6.9,1.0
2022-04-05,22.1,18.5,83.5,7.2,30.0,7.0,1.2
2022-05-15,18.8,22.2,83.0,8.5,35.0,7.0,1.3
2022-06-20,15.2,24.8,82.5,9.5,40.0,7.1,1.4
2022-07-10,12.8,26.5,82.0,10.2,45.0,7.1,1.5
2022-08-20,68.5,21.2,81.5,7.8,50.0,7.0,1.1
2022-09-15,75.2,15.8,81.5,5.8,50.0,6.9,0.9
2022-10-10,72.5,11.5,81.5,3.8,50.0,6.8,0.7
2023-01-25,48.2,3.2,85.0,1.5,15.0,6.8,0.8
